point,lat,lon,tipo
ASEVA,-7.436702778,-35.898636111,ICAO
ASGAN,-5.9182,-47.256733333,ICAO
ASGIK,-11.465077778,-37.863680556,ICAO
ASGOD,-14.837,-43.594833333,ICAO
ASGOG,-7.026119444,-38.757763889,ICAO
ASGOL,-24.995919444,-48.548936111,ICAO
ASGUB,-0.218777778,-67.049533333,ICAO
ASGUD,-24.018183333,-48.082013889,ICAO
ASGUX,-18.624116667,-41.858072222,ICAO
ASIKI,-14.296283333,-59.037555556,ICAO
ASIMU,-5.66665,-54.242744444,ICAO
ASIRO,-22.882666667,-47.059925,ICAO
ASKAB,-9.173158333,-67.783116667,ICAO
ASKAV,-22.323658333,-42.922425,ICAO
ASODA,-21.559269444,-51.090016667,ICAO
ASOLA,-9.795,-70.973,ICAO
ASOLI,-9.875316667,-44.160483333,ICAO
ASOPI,-19.582333333,-45.331666667,ICAO
ASOVU,-3.651433333,-38.545863889,ICAO
ASTOB,-20.68,-48.82316667,ICAO
ASUGA,-13.387336111,-38.799044444,ICAO
ASUGI,0.799833333,-59.342,ICAO
ASUGO,-30.510269444,-52.368811111,ICAO
ASUMA,-31.8675,-54.15533333,ICAO
ASUPU,-16.951463889,-43.838661111,ICAO
ASUTI,-22.87215,-47.323113889,ICAO
ASUXO,-8.537666667,-33.37583333,ICAO
AT002,-9.956566667,-56.136291667,TERMINAL
AT003,-10.036072222,-56.162752778,TERMINAL
AT004,-10.115572222,-56.189227778,TERMINAL
AT006,-10.038602778,-56.247183333,TERMINAL
AT007,-10.087905556,-56.096416667,TERMINAL
AT008,-9.776069444,-56.076263889,TERMINAL
AT011,-9.696555556,-56.049844444,TERMINAL
AT012,-9.693980556,-55.965502778,TERMINAL
AT013,-9.617041667,-56.023436111,TERMINAL
AT014,-9.644725,-56.116105556,TERMINAL
ATABO,-7.318666667,-47.454833333,ICAO
ATARA,-22.896061111,-47.289761111,ICAO
ATARI,-26.7275,-52.22866667,ICAO
ATATU,2.033666667,-67.7445,ICAO
ATAVA,-15.902413889,-56.208363889,ICAO
ATEBU,-20.371636111,-40.0466,ICAO
ATEDO,-15.467533333,-56.484166667,ICAO
ATEKO,-5.270044444,-61.462230556,ICAO
ATERU,-19.351888889,-56.985555556,ICAO
ATEVO,2.279863889,-40.413430556,ICAO
ATEVU,-27.762458333,-48.370294444,ICAO
ATEXO,-13.701,-39.0565,ICAO
ATF01,-9.877436111,-56.108841667,TERMINAL
ATF02,-9.855847222,-56.101761111,TERMINAL
ATIDO,-3.241625,-54.993027778,ICAO
ATIDU,-22.618383333,-42.918836111,ICAO
ATILI,-22.131636111,-47.463133333,ICAO
ATILU,-27.566958333,-50.428941667,ICAO
ATIMA,-25.279661111,-48.298675,ICAO
ATIPU,-20.195139663,-45.332055684,ICAO
ATM01,-3.211433333,-52.200858333,TERMINAL
ATM02,-3.291633333,-52.303005556,TERMINAL
ATNAS,-20.16783333,-55.304,ICAO
ATOGI,-21.416461111,-41.329777778,ICAO
ATOGU,-6.649883333,-50.194711111,ICAO
ATOMI,-23.091255556,-45.997252778,ICAO
ATORO,-25.857777778,-35.848333333,ICAO
ATOVU,-16.198922923,-44.902372353,ICAO
AU001,-21.223333333,-50.472166667,TERMINAL
AU002,-21.296666667,-50.515,TERMINAL
AU003,-21.281666667,-50.620833333,TERMINAL
AU004,-21.384666667,-50.566333333,TERMINAL
AU006,-21.372,-50.444166667,TERMINAL
AU007,-20.986121674,-50.334421321,TERMINAL
AU008,-21.059666667,-50.377,TERMINAL
AU009,-21.001333333,-50.228666667,TERMINAL
AU011,-20.898166667,-50.283166667,TERMINAL
AU012,-20.910833333,-50.404666667,TERMINAL
AULIC,-7.886988889,-35.545791667,ICAO
AURIS,-26.43885,-53.465908333,ICAO
AWAKE,-22.13616667,-41.61933333,ICAO
AX358,-19.657061111,-46.859530556,TERMINAL
AX361,-19.627666667,-46.890833333,TERMINAL
AX362,-19.6865,-46.828166667,TERMINAL
AX363,-19.745333333,-46.765333333,TERMINAL
AX364,-19.7625,-46.865166667,TERMINAL
AX366,-19.650833333,-46.748333333,TERMINAL
AX367,-19.38,-47.154333333,TERMINAL
AX368,-19.363027778,-47.054555556,TERMINAL
AX369,-19.474333333,-47.171583333,TERMINAL
AX371,-19.438888889,-47.091694444,TERMINAL
AX372,-19.497805556,-47.029055556,TERMINAL
AZOIC,-18.304166667,-47.715833333,ICAO
AZOTE,-11.834,-37.84083333,ICAO
BACOR,-25.674627778,-49.355947222,ICAO
BAG01,-15.892269444,-52.428352778,TERMINAL
BAGRE,-18.805108333,-50.800508333,ICAO
BAIAN,-23.668872222,-46.128416667,ICAO
BARCO,-1.682666667,-56.868,ICAO
BBC11,-21.275580556,-43.75995,TERMINAL
BCH01,-25.551877778,-49.334733333,TERMINAL
BCH02,-25.415591667,-49.04285,TERMINAL
BCH03,-25.558536111,-49.146297222,TERMINAL
BCH04,-25.484216667,-49.188461111,TERMINAL
BCH05,-25.444077778,-49.211208333,TERMINAL
BCH06,-25.090477778,-49.373027778,TERMINAL
BE001,-1.488533333,-48.503733333,TERMINAL
BE002,-1.514127778,-48.478336111,TERMINAL
BE003,-1.316188889,-48.707594444,TERMINAL
BE004,-1.135913889,-48.513480556,TERMINAL
BE005,-1.343291667,-48.439736111,TERMINAL
BE006,-1.442613889,-48.481602778,TERMINAL
BE007,-1.423266667,-48.520586111,TERMINAL
BE008,-1.53065,-48.348677778,TERMINAL
BE009,-1.336286111,-48.234986111,TERMINAL
BE012,-1.428930556,-48.480433333,TERMINAL
BE013,-1.404463889,-48.584930556,TERMINAL
BE014,-1.526805556,-48.571677778,TERMINAL
BE015,-1.413161111,-48.513952778,TERMINAL
BE016,-1.543672222,-48.523513889,TERMINAL
BE017,-1.560733333,-48.476552778,TERMINAL
BE018,-1.453861111,-48.616294444,TERMINAL
BE019,-1.426805556,-48.658363889,TERMINAL
BE021,-1.301277778,-48.853522222,TERMINAL
BE022,-1.379519444,-48.815580556,TERMINAL
BE026,-1.473986111,-48.484283333,TERMINAL
BE027,-1.557422222,-48.491411111,TERMINAL
BE028,-1.640858333,-48.498541667,TERMINAL
BE029,-1.579227778,-48.571755556,TERMINAL
BE031,-1.592688889,-48.415936111,TERMINAL
BE032,-1.371094444,-48.466219444,TERMINAL
BE035,-1.388016667,-48.485008333,TERMINAL
BE036,-1.343291667,-48.439736111,TERMINAL
BE037,-1.335683333,-48.472469444,TERMINAL
BE038,-1.429066667,-48.477777778,TERMINAL
BE039,-1.414972222,-48.512352778,TERMINAL
BE040,-1.335986111,-48.470163889,TERMINAL
BE041,-1.415027778,-48.512297222,TERMINAL
BE051,-1.578722222,-48.841075,TERMINAL
BE053,-1.762466667,-48.539963889,TERMINAL
BE061,-1.644666667,-48.440077778,TERMINAL
BE062,-1.654780556,-48.217636111,TERMINAL
BE067,-1.705713889,-48.285088889,TERMINAL
BE098,-1.3708,-48.466502778,BRG_DIST
BE099,-1.342097222,-48.440975,TERMINAL
BE101,-1.265205556,-48.534802778,TERMINAL
BE102,-0.795288889,-49.296130556,TERMINAL
BE106,-1.358611111,-48.583319444,TERMINAL
BE107,-1.417777778,-48.643244444,TERMINAL
BE108,-1.503055556,-49.484788889,TERMINAL
BE109,-1.584722222,-50.052941667,TERMINAL
BE111,-1.621944444,-48.392786111,TERMINAL
BE112,-1.804166667,-48.361077778,TERMINAL
BE113,-2.570555556,-48.252425,TERMINAL
BE114,-1.770994444,-50.108094444,TERMINAL
BE116,-1.680661111,-49.441072222,TERMINAL
BE117,-1.634452778,-49.101877778,TERMINAL
BE118,-1.969986111,-48.329311111,TERMINAL
BE121,-1.186088889,-49.119727778,TERMINAL
BE122,-1.425277778,-48.750416667,TERMINAL
BE126,-1.878477778,-48.012777778,TERMINAL
BE127,-1.746666667,-48.304661111,TERMINAL
BE128,-1.643055556,-48.482930556,TERMINAL
BE131,-2.500555556,-48.509016667,TERMINAL
BE132,-2.057419444,-48.535158333,TERMINAL
BE133,-1.364663889,-48.333022222,TERMINAL
BE141,-1.33865,-48.729694444,TERMINAL
BE142,-1.412891667,-48.924372222,TERMINAL
