icao,name,longitude,latitude,elevation
SDIO,Aeroclube de Itápolis Airport,-48.833057,-21.600287,1827
SDIP,Fazenda Centro de Vôo a Vela Ipuã Airport,-45.775133,-23.042711,1913
SDIQ,Goettems Heliport,-44.195854,-23.048798,7
SDIS,The Eagle's Nest Heliport,-49.024055,-23.247539,1867
SDIT,Itaú NPD Paulista Heliport,-46.65782,-23.576396,2558
SDIV,Ituverava Airport,-47.769066,-20.374843,2044
SDIW,Edifício São Paulo Trade Building Heliport,-46.688449,-23.593876,2618
SDIX,Iporanga - Guarujá Heliport,-46.172066,-23.888478,20
SDIY,João Durval Carneiro Airport,-38.906164,-12.200694,781
SDJA,Doutor José Augusto de Arruda Botelho Airport,-47.861839,-22.194598,2569
SDJB,Quinta da Baroneza II Heliport,-46.70056,-22.973425,2457
SDJC,Jaboticabal Airport,-48.284212,-21.229755,2018
SDJD,Juquehy Baleia Heliport,-45.712166,-23.760281,33
SDJF,Fazenda Jequitibá Airport,-48.448055,-23.846065,2310
SDJH,Norberto Odebrecht Helipad,-38.436098,-12.96251,154
SDJI,Avibrás II Heliport,-45.816742,-23.326072,2418
SDJJ,Francisco Mellão Heliport,-46.688445,-23.593609,2634
SDJK,Centro Empresarial Araguaia Helipad,-46.842163,-23.501781,2710
SDJL,Jales Airport,-50.545546,-20.292296,1493
SDJM,Sítio Santo Antônio Heliport,-46.928049,-23.132643,2520
SDJN,Fazenda São Luiz Airport,-47.733954,-21.096664,1932
SDJO,São Joaquim da Barra Airport,-47.841211,-20.594095,2133
SDJP,Helicentro Carcará Heliport,-43.464406,-22.745286,59
SDJQ,Fazenda São Joaquim O.B. Airport,-51.007999,-20.8284,1204
SDJS,Andorinha Airport,-60.241678,4.727303,735
SDJT,J. Toledo Helipad,-46.908967,-23.175142,2287
SDJU,Hospital São Luiz Helipad,-46.673089,-23.590686,2539
SDJV,São João da Boa Vista Municipal Airport,-46.840779,-22.017744,2501
SDJW,Rede D'Or São Luiz Morumbi Heliport,-46.70359,-23.591053,2552
SDJX,Fazenda Serra Dourada Airport,-48.386468,-13.102172,1585
SDJZ,Fazenda Barra do Agudo Airport,-48.222595,-20.810328,1608
SDKA,Angical Airport,-59.835001,4.164573,184
SDKB,Casa Branca Municipal Airport,-47.055557,-21.788055,2346
